age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,fnlwgt__log,fnlwgt__bin,education_num__bin,capital_gain__log,capital_gain__sqrt,hours_per_week__log,hours_per_week__bin,age__x__fnlwgt,age__x__education_num,age__div__education_num,age__div__capital_gain,age__div__capital_loss,age__x__hours_per_week,age__minus__hours_per_week,age__div__hours_per_week,fnlwgt__x__education_num,fnlwgt__div__education_num,fnlwgt__x__capital_gain,fnlwgt__div__capital_gain,fnlwgt__x__capital_loss,fnlwgt__div__capital_loss,fnlwgt__x__hours_per_week,fnlwgt__div__hours_per_week,education_num__div__capital_gain,income
32,Private,37210,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,10.524359695475658,0,2,0.0,0.0,3.828641396489095,2,1190720,416,2.46153845964497,3200000000.0,3200000000.0,1440,-13,0.7111111109530864,483730,2862.307690105917,0,3721000000000.0,0,3721000000000.0,1674450,826.8888887051357,1300000000.0,1
43,Private,101950,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,45,United-States,11.532247584684265,0,3,0.0,0.0,3.828641396489095,2,4383850,602,3.0714285692346937,4300000000.0,4300000000.0,1935,-2,0.9555555553432099,1427300,7282.142851941326,0,10195000000000.0,0,10195000000000.0,4587750,2265.5555550520985,1400000000.0,0
20,?,122244,HS-grad,9,Never-married,?,Not-in-family,White,Female,0,0,28,United-States,11.713782506705199,1,0,0.0,0.0,3.367295829986474,0,2444880,180,2.2222222197530863,2000000000.0,2000000000.0,560,-8,0.7142857140306123,1100196,13582.666651574813,0,12224400000000.0,0,12224400000000.0,3422832,4365.857141297908,900000000.0,0
40,Local-gov,24763,Some-college,10,Divorced,Transport-moving,Unmarried,White,Male,6849,0,40,United-States,10.117146264639123,0,1,8.83200393125627,82.75868534480233,3.713572066704308,1,990520,400,3.9999999959999997,0.005840268652349482,4000000000.0,1600,0,0.99999999975,247630,2476.2999975237,169601787,3.615564315953255,0,2476300000000.0,990520,619.0749998452312,0.0014600671630873704,0
24,Private,113936,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,11.643400943040573,1,2,0.0,0.0,3.713572066704308,1,2734464,312,1.8461538447337278,2400000000.0,2400000000.0,960,-16,0.59999999985,1481168,8764.307685565916,0,11393600000000.0,0,11393600000000.0,4557440,2848.3999992879,1300000000.0,0
51,Private,237630,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,7298,0,50,United-States,12.378474329340447,3,0,8.895492631451633,85.42833253669417,3.9318256327243257,3,12119130,459,5.66666666037037,0.006988215949565651,5100000000.0,2550,1,1.019999999796,2138670,26403.333303996293,1734223740,32.560975609711484,0,23763000000000.0,11881500,4752.59999904948,0.0012332145793351149,1
44,Private,310255,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,12.645153042122399,4,1,0.0,0.0,4.110873864173311,3,13651220,440,4.3999999956,4400000000.0,4400000000.0,2640,-16,0.733333333211111,3102550,31025.4999689745,0,31025500000000.0,0,31025500000000.0,18615300,5170.916665804847,1000000000.0,1
53,Private,121441,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,11.707192061532051,1,1,0.0,0.0,4.02535169073515,3,6436373,530,5.299999994699999,5300000000.0,5300000000.0,2915,-2,0.963636363461157,1214410,12144.0999878559,0,12144100000000.0,0,12144100000000.0,6679255,2208.018181416724,1000000000.0,0
44,Self-emp-inc,191712,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,55,United-States,12.163754741027617,2,3,0.0,0.0,4.02535169073515,3,8435328,616,3.1428571406122447,4400000000.0,0.018219461697647127,2420,-11,0.7999999998545454,2683968,13693.71427593306,0,19171200000000.0,462984480,79.3838509313483,10544160,3485.6727266389685,1400000000.0,1
28,?,149646,Some-college,10,Divorced,?,Own-child,White,Female,0,0,20,?,11.916034466304096,1,1,0.0,0.0,3.044522437723423,0,4190088,280,2.7999999971999996,2800000000.0,2800000000.0,560,8,1.3999999992999999,1496460,14964.599985035398,0,14964600000000.0,0,14964600000000.0,2992920,7482.29999625885,1000000000.0,0
32,Private,113364,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,11.638367980660743,1,2,0.0,0.0,3.713572066704308,1,3627648,416,2.46153845964497,3200000000.0,3200000000.0,1280,-8,0.7999999998,1473732,8720.307685599762,0,11336400000000.0,0,11336400000000.0,4534560,2834.099999291475,1300000000.0,1
51,Private,63424,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,11.057613384467482,0,3,0.0,0.0,3.713572066704308,1,3234624,714,3.642857140255102,5100000000.0,5100000000.0,2040,11,1.27499999968125,887936,4530.285711049795,0,6342400000000.0,0,6342400000000.0,2536960,1585.5999996036,1400000000.0,1
29,Private,175738,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,45,United-States,12.07675521880945,2,2,0.0,0.0,3.828641396489095,2,5096402,377,2.230769229053254,2900000000.0,2900000000.0,1305,-16,0.6444444443012346,2284594,13518.307681908993,0,17573800000000.0,0,17573800000000.0,7908210,3905.2888880210467,1300000000.0,1
